,0,1,2,3
"(5, 360, np.float64(0.7000000000000001))",3.0,0.3125,35588659.922916666,34757356.5
"(5, 360, np.float64(0.8))",3.0,0.3333333333333333,37423562.489583336,37171450.0
"(5, 360, np.float64(0.9))",3.0,0.052083333333333336,38181387.58958333,37401638.5
"(5, 370, np.float64(0.1))",3.0,0.3020833333333333,39186897.92916667,38342765.0
"(5, 370, np.float64(0.2))",3.0,0.3020833333333333,38481864.15208333,38182193.0
"(5, 370, np.float64(0.30000000000000004))",3.0,0.3020833333333333,37912127.797916666,37513473.5
"(5, 370, np.float64(0.4))",3.0,0.3020833333333333,37992345.2125,37078878.0
"(5, 370, np.float64(0.5))",3.0,0.3020833333333333,37952105.69375,37350374.5
"(5, 370, np.float64(0.6))",3.0,0.30416666666666664,35762726.41041667,34841464.0
"(5, 370, np.float64(0.7000000000000001))",3.0,0.32083333333333336,37290324.72083333,36638337.0
"(5, 370, np.float64(0.8))",3.0,0.3375,37555280.00208333,37655000.0
"(5, 370, np.float64(0.9))",3.0,0.05416666666666667,37455346.21458333,37060530.5
"(5, 380, np.float64(0.1))",3.0,0.30833333333333335,39703608.68125,38917950.0
"(5, 380, np.float64(0.2))",3.0,0.30833333333333335,36560878.55625,35744596.5
"(5, 380, np.float64(0.30000000000000004))",3.0,0.30833333333333335,37899379.24166667,37188324.5
"(5, 380, np.float64(0.4))",3.0,0.30833333333333335,37769908.87083333,37110483.5
"(5, 380, np.float64(0.5))",3.0,0.30833333333333335,37553617.822916664,36754279.5
"(5, 380, np.float64(0.6))",3.0,0.3104166666666667,37423595.52708333,36870080.5
"(5, 380, np.float64(0.7000000000000001))",3.0,0.325,35640953.483333334,35109412.0
"(5, 380, np.float64(0.8))",3.0,0.33958333333333335,37115044.825,36658394.0
"(5, 380, np.float64(0.9))",3.0,0.05416666666666667,37485797.74375,36851588.5
"(5, 390, np.float64(0.1))",3.0,0.31666666666666665,39199053.229166664,38227074.5
"(5, 390, np.float64(0.2))",3.0,0.31666666666666665,39413001.797916666,38618554.0
"(5, 390, np.float64(0.30000000000000004))",3.0,0.31666666666666665,38588268.88125,37510672.0
"(5, 390, np.float64(0.4))",3.0,0.31666666666666665,37472848.854166664,37046951.0
"(5, 390, np.float64(0.5))",3.0,0.31666666666666665,37818407.28958333,37098692.5
"(5, 390, np.float64(0.6))",3.0,0.31875,38233425.260416664,37640625.0
"(5, 390, np.float64(0.7000000000000001))",3.0,0.33125,37311740.697916664,36829042.5
"(5, 390, np.float64(0.8))",3.0,0.3458333333333333,35846252.475,35440925.5
"(5, 390, np.float64(0.9))",3.0,0.05416666666666667,37001650.43125,36502886.5
"(5, 400, np.float64(0.1))",3.0,0.31875,38264645.25833333,37113934.0
"(5, 400, np.float64(0.2))",3.0,0.31875,38328021.72291667,37284324.0
"(5, 400, np.float64(0.30000000000000004))",3.0,0.31875,36837710.65,35583695.5
"(5, 400, np.float64(0.4))",3.0,0.31875,35342430.125,34115711.0
"(5, 400, np.float64(0.5))",3.0,0.31875,34467290.1,32796282.5
"(5, 400, np.float64(0.6))",3.0,0.32083333333333336,35008654.225,33540876.5
"(5, 400, np.float64(0.7000000000000001))",3.0,0.3333333333333333,33353124.958333332,32273786.0
"(5, 400, np.float64(0.8))",3.0,0.3458333333333333,32879375.595833335,31648960.0
"(5, 400, np.float64(0.9))",3.0,0.05416666666666667,32043438.335416667,30860097.5
"(7, 300, np.float64(0.1))",3.0,0.2791666666666667,115481746.58541666,112386523.5
"(7, 300, np.float64(0.2))",3.0,0.2791666666666667,113908290.60416667,111637120.0
"(7, 300, np.float64(0.30000000000000004))",3.0,0.2791666666666667,114500560.58958334,112144893.0
"(7, 300, np.float64(0.4))",3.0,0.2791666666666667,111880806.925,110697378.5
"(7, 300, np.float64(0.5))",3.0,0.2791666666666667,111275165.34791666,110297515.5
"(7, 300, np.float64(0.6))",3.0,0.28125,109804097.44791667,109049495.5
"(7, 300, np.float64(0.7000000000000001))",3.0,0.30625,110472427.75833334,109647676.0
"(7, 300, np.float64(0.8))",3.0,0.3333333333333333,110242907.61458333,110007721.5
"(7, 300, np.float64(0.9))",3.0,0.029166666666666667,109651497.11666666,109222644.0
"(7, 310, np.float64(0.1))",3.0,0.2791666666666667,110612863.79583333,110167176.5
"(7, 310, np.float64(0.2))",3.0,0.2791666666666667,111187478.75208333,110419532.0
"(7, 310, np.float64(0.30000000000000004))",3.0,0.2791666666666667,109681823.45208333,109177194.0
"(7, 310, np.float64(0.4))",3.0,0.2791666666666667,110761793.23541667,110227521.0
"(7, 310, np.float64(0.5))",3.0,0.2791666666666667,110478464.97083333,110022731.0
"(7, 310, np.float64(0.6))",3.0,0.28125,110427569.50416666,110143449.5
"(7, 310, np.float64(0.7000000000000001))",3.0,0.30833333333333335,108988988.14375,108890122.0
"(7, 310, np.float64(0.8))",3.0,0.3375,109625224.92916666,108996788.0
"(7, 310, np.float64(0.9))",3.0,0.029166666666666667,110183870.01458333,110164515.5
"(7, 320, np.float64(0.1))",3.0,0.2791666666666667,111324099.16666667,110930543.5
"(7, 320, np.float64(0.2))",3.0,0.2791666666666667,110293069.18333334,110048794.5
"(7, 320, np.float64(0.30000000000000004))",3.0,0.2791666666666667,109081141.92083333,108954416.0
"(7, 320, np.float64(0.4))",3.0,0.2791666666666667,110814637.87708333,110057145.0
"(7, 320, np.float64(0.5))",3.0,0.2791666666666667,110498341.99166666,109888608.0
"(7, 320, np.float64(0.6))",3.0,0.28125,110464305.98333333,109799404.5
