,key,path,found_perm,true_perm,correct,overlap
106,b,../puck/data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_0.jpg,ahc,ahc,True,3
107,b,../puck/data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_1.jpg,ahc,ahc,True,3
108,b,../puck/data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_3.jpg,ahc,ahc,True,3
109,b,../puck/data/images_copy/custom/jack_cole/high/B/custom_jack_cole_high_B_2.jpg,ahc,ahc,True,3
110,b,../puck/data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_4.jpg,ahc,ahc,True,3
111,b,../puck/data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_0.jpg,ahc,ahc,True,3
112,b,../puck/data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_1.jpg,ahc,ahc,True,3
113,b,../puck/data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_3.jpg,ahc,ahc,True,3
114,b,../puck/data/images_copy/custom/jack_cole/short/B/custom_jack_cole_short_B_2.jpg,ahc,ahc,True,3
115,b,../puck/data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_2.jpg,ahc,ahc,True,3
116,b,../puck/data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_3.jpg,ahc,ahc,True,3
117,b,../puck/data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_1.jpg,ahc,ahc,True,3
118,b,../puck/data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_0.jpg,ahc,ahc,True,3
119,b,../puck/data/images_copy/custom/jack_cole/medium/B/custom_jack_cole_medium_B_4.jpg,ahc,ahc,True,3
120,c,../puck/data/images_copy/custom/michaels/high/C/custom_michaels_high_C_1.jpg,efg,efg,True,3
121,c,../puck/data/images_copy/custom/michaels/high/C/custom_michaels_high_C_0.jpg,efg,efg,True,3
122,c,../puck/data/images_copy/custom/michaels/high/C/custom_michaels_high_C_2.jpg,efg,efg,True,3
123,c,../puck/data/images_copy/custom/michaels/high/C/custom_michaels_high_C_3.jpg,efg,efg,True,3
124,c,../puck/data/images_copy/custom/michaels/high/C/custom_michaels_high_C_4.jpg,efg,efg,True,3
125,c,../puck/data/images_copy/custom/michaels/short/C/custom_michaels_short_C_1.jpg,efg,efg,True,3
126,c,../puck/data/images_copy/custom/michaels/short/C/custom_michaels_short_C_0.jpg,efg,efg,True,3
127,c,../puck/data/images_copy/custom/michaels/short/C/custom_michaels_short_C_2.jpg,efg,efg,True,3
128,c,../puck/data/images_copy/custom/michaels/short/C/custom_michaels_short_C_3.jpg,ebg,efg,False,2
129,c,../puck/data/images_copy/custom/michaels/short/C/custom_michaels_short_C_4.jpg,efe,efg,False,2
130,c,../puck/data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_4.jpg,ebg,efg,False,2
131,c,../puck/data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_3.jpg,ebg,efg,False,2
132,c,../puck/data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_2.jpg,ebg,efg,False,2
133,c,../puck/data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_0.jpg,ebg,efg,False,2
134,c,../puck/data/images_copy/custom/michaels/medium/C/custom_michaels_medium_C_1.jpg,ebg,efg,False,2
135,c,../puck/data/images_copy/custom/davids/high/C/custom_davids_high_C_4.jpg,efg,efg,True,3
136,c,../puck/data/images_copy/custom/davids/high/C/custom_davids_high_C_0.jpg,efg,efg,True,3
137,c,../puck/data/images_copy/custom/davids/high/C/custom_davids_high_C_1.jpg,ebg,efg,False,2
138,c,../puck/data/images_copy/custom/davids/high/C/custom_davids_high_C_3.jpg,efg,efg,True,3
139,c,../puck/data/images_copy/custom/davids/high/C/custom_davids_high_C_2.jpg,ebg,efg,False,2
140,c,../puck/data/images_copy/custom/davids/short/C/custom_davids_short_C_4.jpg,ebg,efg,False,2
141,c,../puck/data/images_copy/custom/davids/short/C/custom_davids_short_C_0.jpg,gce,efg,False,0
142,c,../puck/data/images_copy/custom/davids/short/C/custom_davids_short_C_1.jpg,gce,efg,False,0
143,c,../puck/data/images_copy/custom/davids/short/C/custom_davids_short_C_3.jpg,ece,efg,False,1
144,c,../puck/data/images_copy/custom/davids/short/C/custom_davids_short_C_2.jpg,efg,efg,True,3
145,c,../puck/data/images_copy/custom/davids/medium/C/custom_davids_medium_C_0.jpg,efg,efg,True,3
146,c,../puck/data/images_copy/custom/davids/medium/C/custom_davids_medium_C_1.jpg,efg,efg,True,3
147,c,../puck/data/images_copy/custom/davids/medium/C/custom_davids_medium_C_3.jpg,ebg,efg,False,2
148,c,../puck/data/images_copy/custom/davids/medium/C/custom_davids_medium_C_2.jpg,efg,efg,True,3
149,c,../puck/data/images_copy/custom/davids/medium/C/custom_davids_medium_C_4.jpg,ebg,efg,False,2
150,c,../puck/data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_1.jpg,efg,efg,True,3
151,c,../puck/data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_0.jpg,efg,efg,True,3
152,c,../puck/data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_2.jpg,efg,efg,True,3
153,c,../puck/data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_3.jpg,ebg,efg,False,2
154,c,../puck/data/images_copy/custom/john_honey/high/C/custom_john_honey_high_C_4.jpg,efg,efg,True,3
155,c,../puck/data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_3.jpg,efg,efg,True,3
156,c,../puck/data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_2.jpg,efg,efg,True,3
157,c,../puck/data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_0.jpg,efg,efg,True,3
158,c,../puck/data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_1.jpg,efg,efg,True,3
159,c,../puck/data/images_copy/custom/john_honey/short/C/custom_john_honey_short_C_4.jpg,efg,efg,True,3
160,c,../puck/data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_4.jpg,efg,efg,True,3
161,c,../puck/data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_0.jpg,efg,efg,True,3
162,c,../puck/data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_1.jpg,efg,efg,True,3
163,c,../puck/data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_3.jpg,efg,efg,True,3
164,c,../puck/data/images_copy/custom/john_honey/medium/C/custom_john_honey_medium_C_2.jpg,efg,efg,True,3
165,c,../puck/data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_4.jpg,efg,efg,True,3
166,c,../puck/data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_3.jpg,ebg,efg,False,2
167,c,../puck/data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_2.jpg,efg,efg,True,3
168,c,../puck/data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg,efg,efg,True,3
169,c,../puck/data/images_copy/custom/jack_cole/high/C/custom_jack_cole_high_C_1.jpg,efg,efg,True,3
