,key,path,found_perm,true_perm,correct,overlap,luv_coords
83,b,../puck/data/images_copy/dark/davids/short/B/dark_davids_short_B_0.jpg,adg,ahc,False,1,"[array([88, 85, 61], dtype=uint8), array([ 90, 160, 160], dtype=uint8), array([ 72,  80, 144], dtype=uint8)]"
84,b,../puck/data/images_copy/dark/davids/short/B/dark_davids_short_B_1.jpg,adg,ahc,False,1,"[array([101,  83,  54], dtype=uint8), array([ 85, 159, 161], dtype=uint8), array([ 80,  79, 137], dtype=uint8)]"
85,b,../puck/data/images_copy/dark/davids/medium/B/dark_davids_medium_B_1.jpg,adg,ahc,False,1,"[array([101,  83,  54], dtype=uint8), array([ 85, 159, 161], dtype=uint8), array([ 80,  79, 137], dtype=uint8)]"
86,b,../puck/data/images_copy/dark/davids/medium/B/dark_davids_medium_B_0.jpg,adg,ahc,False,1,"[array([90, 85, 55], dtype=uint8), array([ 69, 150, 157], dtype=uint8), array([ 78,  79, 137], dtype=uint8)]"
87,b,../puck/data/images_copy/dark/davids/medium/B/dark_davids_medium_B_2.jpg,adg,ahc,False,1,"[array([90, 85, 55], dtype=uint8), array([ 69, 150, 157], dtype=uint8), array([ 78,  79, 137], dtype=uint8)]"
88,b,../puck/data/images_copy/dark/davids/medium/B/dark_davids_medium_B_3.jpg,adg,ahc,False,1,"[array([90, 85, 55], dtype=uint8), array([ 69, 150, 157], dtype=uint8), array([ 78,  79, 137], dtype=uint8)]"
89,b,../puck/data/images_copy/dark/davids/medium/B/dark_davids_medium_B_4.jpg,adg,ahc,False,1,"[array([90, 85, 55], dtype=uint8), array([ 69, 150, 157], dtype=uint8), array([ 78,  79, 137], dtype=uint8)]"
90,b,../puck/data/images_copy/dark/john_honey/high/B/dark_john_honey_high_B_0.jpg,ahc,ahc,True,3,"[array([142,  79,  50], dtype=uint8), array([120, 162, 167], dtype=uint8), array([131,  70, 149], dtype=uint8)]"
91,b,../puck/data/images_copy/dark/john_honey/high/B/dark_john_honey_high_B_1.jpg,ahc,ahc,True,3,"[array([137,  80,  47], dtype=uint8), array([128, 158, 166], dtype=uint8), array([135,  71, 147], dtype=uint8)]"
92,b,../puck/data/images_copy/dark/john_honey/high/B/dark_john_honey_high_B_3.jpg,ahc,ahc,True,3,"[array([140,  80,  60], dtype=uint8), array([134, 161, 167], dtype=uint8), array([144,  71, 150], dtype=uint8)]"
93,b,../puck/data/images_copy/dark/john_honey/high/B/dark_john_honey_high_B_2.jpg,adc,ahc,False,2,"[array([138,  80,  53], dtype=uint8), array([108, 151, 163], dtype=uint8), array([146,  68, 150], dtype=uint8)]"
94,b,../puck/data/images_copy/dark/john_honey/high/B/dark_john_honey_high_B_4.jpg,ahc,ahc,True,3,"[array([149,  81,  46], dtype=uint8), array([122, 159, 163], dtype=uint8), array([135,  72, 150], dtype=uint8)]"
95,b,../puck/data/images_copy/dark/john_honey/short/B/dark_john_honey_short_B_4.jpg,adc,ahc,False,2,"[array([92, 85, 73], dtype=uint8), array([ 82, 153, 158], dtype=uint8), array([ 96,  75, 156], dtype=uint8)]"
96,b,../puck/data/images_copy/dark/john_honey/short/B/dark_john_honey_short_B_3.jpg,ahc,ahc,True,3,"[array([154,  84,  84], dtype=uint8), array([117, 138, 155], dtype=uint8), array([117,  73, 154], dtype=uint8)]"
