,key,path,found_perm,true_perm,correct,overlap
168,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/C/custom_jack_cole_high_C_0.jpg,efg,ebg,False,2
169,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/high/C/custom_jack_cole_high_C_1.jpg,efg,ebg,False,2
170,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/short/C/custom_jack_cole_short_C_4.jpg,efg,ebg,False,2
171,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/short/C/custom_jack_cole_short_C_3.jpg,efg,ebg,False,2
172,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/short/C/custom_jack_cole_short_C_2.jpg,efg,ebg,False,2
173,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/short/C/custom_jack_cole_short_C_0.jpg,efg,ebg,False,2
174,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/short/C/custom_jack_cole_short_C_1.jpg,ebg,ebg,True,3
175,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/medium/C/custom_jack_cole_medium_C_1.jpg,ebg,ebg,True,3
176,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/medium/C/custom_jack_cole_medium_C_0.jpg,ebg,ebg,True,3
177,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/medium/C/custom_jack_cole_medium_C_2.jpg,ebg,ebg,True,3
178,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/medium/C/custom_jack_cole_medium_C_3.jpg,efg,ebg,False,2
179,c,/Users/jdreiling/Desktop/puck/puck//images/custom/jack_cole/medium/C/custom_jack_cole_medium_C_4.jpg,ebg,ebg,True,3
180,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/D/custom_michaels_high_D_4.jpg,fff,fff,True,3
181,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/D/custom_michaels_high_D_2.jpg,fff,fff,True,3
182,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/D/custom_michaels_high_D_3.jpg,fff,fff,True,3
183,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/D/custom_michaels_high_D_1.jpg,fff,fff,True,3
184,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/high/D/custom_michaels_high_D_0.jpg,fff,fff,True,3
185,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/D/custom_michaels_short_D_4.jpg,fff,fff,True,3
186,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/D/custom_michaels_short_D_2.jpg,fff,fff,True,3
187,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/D/custom_michaels_short_D_3.jpg,fff,fff,True,3
188,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/D/custom_michaels_short_D_1.jpg,fff,fff,True,3
189,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/short/D/custom_michaels_short_D_0.jpg,fff,fff,True,3
190,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/D/custom_michaels_medium_D_0.jpg,fff,fff,True,3
191,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/D/custom_michaels_medium_D_1.jpg,fff,fff,True,3
192,d,/Users/jdreiling/Desktop/puck/puck//images/custom/michaels/medium/D/custom_michaels_medium_D_3.jpg,fff,fff,True,3
