41,"(7, 350, np.float64(0.8))","(9, 350, np.float64(0.8))",,,"(7, 390, np.float64(0.7000000000000001))","(5, 340, np.float64(0.7000000000000001))"
42,"(7, 360, np.float64(0.8))","(9, 360, np.float64(0.8))",,,"(7, 400, np.float64(0.7000000000000001))","(5, 340, np.float64(0.8))"
43,"(7, 370, np.float64(0.8))","(9, 370, np.float64(0.7000000000000001))",,,"(1, 360, np.float64(0.7000000000000001))","(5, 350, np.float64(0.7000000000000001))"
44,"(7, 380, np.float64(0.8))","(9, 370, np.float64(0.8))",,,"(1, 370, np.float64(0.6))","(5, 360, np.float64(0.7000000000000001))"
45,"(7, 390, np.float64(0.7000000000000001))","(9, 380, np.float64(0.7000000000000001))",,,"(1, 370, np.float64(0.7000000000000001))","(5, 370, np.float64(0.7000000000000001))"
46,"(7, 390, np.float64(0.8))","(9, 380, np.float64(0.8))",,,"(1, 370, np.float64(0.8))","(9, 370, np.float64(0.7000000000000001))"
47,"(7, 400, np.float64(0.7000000000000001))","(9, 390, np.float64(0.1))",,,"(1, 380, np.float64(0.6))","(9, 380, np.float64(0.7000000000000001))"
48,"(7, 400, np.float64(0.8))","(9, 390, np.float64(0.2))",,,"(1, 380, np.float64(0.7000000000000001))","(9, 390, np.float64(0.1))"
49,"(9, 300, np.float64(0.8))","(9, 390, np.float64(0.4))",,,"(1, 380, np.float64(0.8))","(9, 390, np.float64(0.2))"
50,"(9, 310, np.float64(0.8))","(9, 390, np.float64(0.5))",,,"(1, 390, np.float64(0.6))","(9, 390, np.float64(0.4))"
51,"(9, 320, np.float64(0.8))","(9, 390, np.float64(0.6))",,,"(1, 390, np.float64(0.7000000000000001))","(9, 390, np.float64(0.5))"
52,"(9, 330, np.float64(0.8))","(9, 390, np.float64(0.7000000000000001))",,,"(1, 390, np.float64(0.8))","(9, 390, np.float64(0.6))"
53,"(9, 340, np.float64(0.8))","(9, 390, np.float64(0.8))",,,"(1, 400, np.float64(0.30000000000000004))","(9, 390, np.float64(0.7000000000000001))"
54,"(9, 350, np.float64(0.8))","(9, 400, np.float64(0.1))",,,"(1, 400, np.float64(0.4))","(9, 400, np.float64(0.1))"
55,"(9, 360, np.float64(0.8))","(9, 400, np.float64(0.2))",,,"(1, 400, np.float64(0.5))","(9, 400, np.float64(0.2))"
56,"(9, 370, np.float64(0.8))","(9, 400, np.float64(0.30000000000000004))",,,"(1, 400, np.float64(0.6))","(9, 400, np.float64(0.30000000000000004))"
57,"(9, 380, np.float64(0.8))","(9, 400, np.float64(0.4))",,,"(1, 400, np.float64(0.7000000000000001))","(9, 400, np.float64(0.4))"
58,"(9, 390, np.float64(0.8))","(9, 400, np.float64(0.7000000000000001))",,,"(1, 400, np.float64(0.8))","(9, 400, np.float64(0.7000000000000001))"
59,"(9, 400, np.float64(0.8))","(9, 400, np.float64(0.8))",,,,
,"(1, 360, np.float64(0.7000000000000001))",,,,,
,"(1, 370, np.float64(0.6))",,,,,
,"(1, 370, np.float64(0.7000000000000001))",,,,,
,"(1, 370, np.float64(0.8))",,,,,
,"(1, 380, np.float64(0.6))",,,,,
,"(1, 380, np.float64(0.7000000000000001))",,,,,
,"(1, 380, np.float64(0.8))",,,,,
,"(1, 390, np.float64(0.6))",,,,,
,"(1, 390, np.float64(0.7000000000000001))",,,,,
,"(1, 390, np.float64(0.8))",,,,,
,"(1, 400, np.float64(0.30000000000000004))",,,,,
,"(1, 400, np.float64(0.4))",,,,,
,"(1, 400, np.float64(0.5))",,,,,
,"(1, 400, np.float64(0.6))",,,,,
,"(1, 400, np.float64(0.7000000000000001))",,,,,
,"(1, 400, np.float64(0.8))",,,,,
